datetime,t2m,u10m,v10m,sp
2019/09/07 19:48:38,274.27716,5.523724,1.9273397,100864.41
2019/09/07 20:48:38,274.40878,5.3530426,1.9786737,100870.19
2019/09/07 21:48:38,274.50458,5.520224,2.392087,100895.0
2019/09/07 22:48:38,274.58997,5.9256496,2.6050327,100919.53
2019/09/07 23:48:38,274.5828,6.429928,2.8815918,100923.805
2019/09/08 00:48:38,274.6621,7.0427237,3.152818,100948.18
2019/09/08 01:48:38,274.56943,7.016624,2.9943302,100938.37
2019/09/08 02:48:38,274.7424,7.0086417,2.9189692,100950.48
2019/09/08 03:48:38,275.08282,6.8588424,2.6843824,100920.15
2019/09/08 04:48:38,275.4822,6.496147,2.2083397,100921.6
2019/09/08 05:48:38,275.71005,5.889422,1.7236805,100960.74
2019/09/08 06:48:38,275.82285,4.885352,1.6235043,100937.98
2019/09/08 07:48:38,275.93686,3.9944768,1.5042156,100970.7
2019/09/08 08:48:38,276.01282,3.1126804,1.1250912,100959.375
2019/09/08 09:48:38,276.087,2.2620614,0.34445256,100970.41
2019/09/08 10:48:38,276.01968,1.1408838,-1.2671728,100981.34
2019/09/08 11:48:38,275.9468,-0.010961921,-2.2645743,101013.375
2019/09/08 12:48:38,275.8754,-1.308601,-3.1352017,101011.28
2019/09/08 13:48:38,275.8388,-2.4260209,-3.6797216,101023.11
2019/09/08 14:48:38,275.74588,-3.398916,-4.077843,100982.71
2019/09/08 15:48:38,275.77887,-4.0981536,-4.5324903,100980.9
2019/09/08 16:48:38,274.30664,-3.4242356,-4.9417834,101070.28
2019/09/08 17:48:38,272.8066,-3.677611,-5.172501,101110.22
2019/09/08 18:48:38,273.06763,-4.2622538,-5.9051185,101154.3
2019/09/08 19:48:38,272.84573,-4.3704667,-6.2001595,101169.28
2019/09/08 20:48:38,272.71118,-4.203047,-6.560167,101193.93
2019/09/08 21:48:38,272.49396,-4.1144404,-6.806445,101235.336
2019/09/08 22:48:38,272.27686,-3.9324763,-6.9663754,101268.79
2019/09/08 23:48:38,272.08746,-3.81282,-7.470035,101285.805
2019/09/09 00:48:38,271.95206,-3.9847004,-7.874922,101304.58
2019/09/09 01:48:38,271.95688,-4.3693624,-7.82315,101342.7
2019/09/09 02:48:38,272.14056,-4.7572203,-7.5499063,101374.59
2019/09/09 03:48:38,272.79944,-5.3389606,-7.914616,101385.39
2019/09/09 04:48:38,272.9041,-5.549808,-7.835899,101356.74
2019/09/09 05:48:38,273.615,-6.145856,-8.382366,101375.24
2019/09/09 06:48:38,273.36816,-5.2980556,-7.7515497,101442.83
2019/09/09 07:48:38,273.51025,-5.4728184,-7.7643933,101489.99
2019/09/09 08:48:38,273.63672,-5.4618015,-7.22969,101507.89
2019/09/09 09:48:38,273.7953,-5.76766,-6.725542,101544.85
2019/09/09 10:48:38,273.99646,-6.2088118,-6.6434126,101524.03
2019/09/09 11:48:38,274.2313,-6.5142913,-5.973723,101552.414
2019/09/09 12:48:38,274.49084,-6.897195,-5.6092277,101558.79
2019/09/09 13:48:38,274.92166,-7.1457005,-4.846188,101578.39
2019/09/09 14:48:38,275.41336,-7.03445,-3.3006663,101534.99
2019/09/09 15:48:38,275.92773,-6.4346743,-1.6111523,101492.15
2019/09/09 16:48:38,276.64392,-5.685279,0.52537024,101482.65
2019/09/09 17:48:38,277.38266,-4.9405985,2.958216,101431.875
2019/09/09 18:48:38,277.72,-5.3955507,3.450602,101433.76
2019/09/09 19:48:38,277.84222,-5.8291283,4.8900285,101385.31
2019/09/09 20:48:38,277.68024,-6.3878837,5.275217,101326.29
2019/09/09 21:48:38,277.3957,-7.0467734,5.231036,101254.945
2019/09/09 22:48:38,277.17654,-7.8774314,4.6018324,101163.76
2019/09/09 23:48:38,276.94434,-8.924107,3.7128353,101087.93
2019/09/10 00:48:38,276.3637,-9.600252,2.6767006,100990.375
2019/09/10 01:48:38,275.9926,-10.701635,2.2888415,100869.37
2019/09/10 02:48:38,276.79095,-11.13908,3.078797,100715.29
2019/09/10 03:48:38,277.46426,-10.7469225,5.2405624,100581.875
2019/09/10 04:48:38,277.9508,-10.607606,8.383105,100415.98
2019/09/10 05:48:38,278.2408,-10.163793,8.138788,100298.51
2019/09/10 06:48:38,279.16342,-7.434051,7.0179133,100042.695
2019/09/10 07:48:38,279.50363,-5.647738,7.573478,99975.68
2019/09/10 08:48:38,279.95715,-2.5408123,9.444405,99913.48
2019/09/10 09:48:38,280.06073,-2.4134665,10.092998,99875.48
2019/09/10 10:48:38,280.1326,-2.3557546,10.07224,99881.97
2019/09/10 11:48:38,280.2491,-1.9384277,9.826411,99898.12
2019/09/10 12:48:38,280.3591,-1.9289227,10.033148,99882.2
2019/09/10 13:48:38,280.4821,-2.5743082,10.897177,99828.77
2019/09/10 14:48:38,280.46246,-3.1691551,10.818631,99780.414
2019/09/10 15:48:38,280.3552,-2.0596244,10.267084,99701.664
2019/09/10 16:48:38,280.29034,-0.032570176,9.847717,99703.055
2019/09/10 17:48:38,280.15747,1.7170303,8.962468,99732.85
2019/09/10 18:48:38,280.04657,1.3320888,9.902574,99657.836
2019/09/10 19:48:38,279.80753,1.717849,10.679491,99688.36
2019/09/10 20:48:38,279.6684,1.6565555,11.130305,99707.914
2019/09/10 21:48:38,279.82236,2.3993793,10.863798,99738.4
2019/09/10 22:48:38,279.89462,3.5363753,10.156387,99762.69
2019/09/10 23:48:38,279.60724,6.485097,7.7799416,99856.99
2019/09/11 00:48:38,279.0288,7.7097473,5.85362,99933.3
2019/09/11 01:48:38,278.7178,7.6729927,4.380367,100014.32
2019/09/11 02:48:38,278.5761,7.371957,3.6919627,100079.305
2019/09/11 03:48:38,278.6303,6.719982,3.2214255,100182.734
2019/09/11 04:48:38,278.70798,5.8990145,2.5694594,100272.805
2019/09/11 05:48:38,278.7277,5.3420625,2.7268562,100329.89
2019/09/11 06:48:38,278.92828,4.309824,2.321523,100370.54
2019/09/11 07:48:38,278.97815,3.4366302,2.4532287,100416.5
2019/09/11 08:48:38,279.37292,2.287732,2.6454108,100429.8
2019/09/11 09:48:38,279.49655,0.96176314,2.6325471,100453.15
2019/09/11 10:48:38,279.94873,-0.9035848,2.5577788,100471.234
2019/09/11 11:48:38,280.54626,-3.1375656,1.712977,100433.72
2019/09/11 12:48:38,280.74326,-4.5264893,1.0682822,100375.92
2019/09/11 13:48:38,280.85977,-5.8596287,1.6872373,100314.836
2019/09/11 14:48:38,280.87958,-6.971387,3.408712,100263.75
2019/09/11 15:48:38,280.7661,-9.102697,3.9841406,100150.33
2019/09/11 16:48:38,280.74878,-10.4518585,3.1333451,100057.64
2019/09/11 17:48:38,281.28503,-10.8107815,1.619907,99907.48
2019/09/11 18:48:38,281.92197,-10.653599,2.8736026,99737.65
2019/09/11 19:48:38,282.1213,-9.484633,3.6067414,99673.91
2019/09/11 20:48:38,283.00403,-7.7886844,4.4852443,99533.12
2019/09/11 21:48:38,283.13916,-7.2185717,4.7638845,99439.91
2019/09/11 22:48:38,283.22977,-6.407792,5.1881375,99383.625
2019/09/11 23:48:38,283.7101,-4.4668546,6.2263207,99318.62
2019/09/12 00:48:38,284.003,-2.2388704,6.9252677,99290.766
2019/09/12 01:48:38,283.90408,-1.7642614,6.7655554,99242.75
2019/09/12 02:48:38,283.94342,-0.8438964,7.0161223,99223.766
2019/09/12 03:48:38,283.71808,-0.5413965,6.791276,99234.58
2019/09/12 04:48:38,283.71548,0.26205307,6.550933,99255.19
2019/09/12 05:48:38,283.5678,0.48929423,6.3958535,99246.61
2019/09/12 06:48:38,283.60922,1.9328994,6.5105124,99307.516
2019/09/12 07:48:38,283.5144,1.9497832,6.5426316,99322.44
2019/09/12 08:48:38,283.50668,1.5872637,6.1922045,99359.46
2019/09/12 09:48:38,283.5748,0.5158577,6.094263,99375.95
2019/09/12 10:48:38,283.58194,-0.15175538,6.108981,99382.99
2019/09/12 11:48:38,283.75058,0.14031665,6.0660033,99379.66
2019/09/12 12:48:38,283.80722,0.5988337,6.4855237,99349.35
2019/09/12 13:48:38,284.01593,1.3420992,6.268379,99408.62
